2015_ID,2016_ID,2017_ID,2018_ID,2019_ID,2020_ID,2021_ID,2022_ID
S0101_C01_010M,S0101_C01_010M,S0101_C02_010M,S0101_C02_010M,S0101_C02_010M,S0101_C02_010M,S0101_C02_010M,S0101_C02_010M
S0101_C01_011E,S0101_C01_011E,S0101_C02_011E,S0101_C02_011E,S0101_C02_011E,S0101_C02_011E,S0101_C02_011E,S0101_C02_011E
S0101_C01_011M,S0101_C01_011M,S0101_C02_011M,S0101_C02_011M,S0101_C02_011M,S0101_C02_011M,S0101_C02_011M,S0101_C02_011M
S0101_C01_012E,S0101_C01_012E,S0101_C02_012E,S0101_C02_012E,S0101_C02_012E,S0101_C02_012E,S0101_C02_012E,S0101_C02_012E
S0101_C01_012M,S0101_C01_012M,S0101_C02_012M,S0101_C02_012M,S0101_C02_012M,S0101_C02_012M,S0101_C02_012M,S0101_C02_012M
S0101_C01_013E,S0101_C01_013E,S0101_C02_013E,S0101_C02_013E,S0101_C02_013E,S0101_C02_013E,S0101_C02_013E,S0101_C02_013E
S0101_C01_013M,S0101_C01_013M,S0101_C02_013M,S0101_C02_013M,S0101_C02_013M,S0101_C02_013M,S0101_C02_013M,S0101_C02_013M
S0101_C01_014E,S0101_C01_014E,S0101_C02_014E,S0101_C02_014E,S0101_C02_014E,S0101_C02_014E,S0101_C02_014E,S0101_C02_014E
S0101_C01_014M,S0101_C01_014M,S0101_C02_014M,S0101_C02_014M,S0101_C02_014M,S0101_C02_014M,S0101_C02_014M,S0101_C02_014M
S0101_C01_015E,S0101_C01_015E,S0101_C02_015E,S0101_C02_015E,S0101_C02_015E,S0101_C02_015E,S0101_C02_015E,S0101_C02_015E
S0101_C01_015M,S0101_C01_015M,S0101_C02_015M,S0101_C02_015M,S0101_C02_015M,S0101_C02_015M,S0101_C02_015M,S0101_C02_015M
S0101_C01_016E,S0101_C01_016E,S0101_C02_016E,S0101_C02_016E,S0101_C02_016E,S0101_C02_016E,S0101_C02_016E,S0101_C02_016E
S0101_C01_016M,S0101_C01_016M,S0101_C02_016M,S0101_C02_016M,S0101_C02_016M,S0101_C02_016M,S0101_C02_016M,S0101_C02_016M
S0101_C01_017E,S0101_C01_017E,S0101_C02_017E,S0101_C02_017E,S0101_C02_017E,S0101_C02_017E,S0101_C02_017E,S0101_C02_017E
S0101_C01_017M,S0101_C01_017M,S0101_C02_017M,S0101_C02_017M,S0101_C02_017M,S0101_C02_017M,S0101_C02_017M,S0101_C02_017M
S0101_C01_018E,S0101_C01_018E,S0101_C02_018E,S0101_C02_018E,S0101_C02_018E,S0101_C02_018E,S0101_C02_018E,S0101_C02_018E
S0101_C01_018M,S0101_C01_018M,S0101_C02_018M,S0101_C02_018M,S0101_C02_018M,S0101_C02_018M,S0101_C02_018M,S0101_C02_018M
S0101_C01_019E,S0101_C01_019E,S0101_C02_019E,S0101_C02_019E,S0101_C02_019E,S0101_C02_019E,S0101_C02_019E,S0101_C02_019E
S0101_C01_019M,S0101_C01_019M,S0101_C02_019M,S0101_C02_019M,S0101_C02_019M,S0101_C02_019M,S0101_C02_019M,S0101_C02_019M
S0101_C01_020E,S0101_C01_020E,S0101_C02_020E,S0101_C02_020E,S0101_C02_020E,S0101_C02_020E,S0101_C02_020E,S0101_C02_020E
S0101_C01_020M,S0101_C01_020M,S0101_C02_020M,S0101_C02_020M,S0101_C02_020M,S0101_C02_020M,S0101_C02_020M,S0101_C02_020M
S0101_C01_021E,S0101_C01_021E,S0101_C02_021E,S0101_C02_021E,S0101_C02_021E,S0101_C02_021E,S0101_C02_021E,S0101_C02_021E
S0101_C01_021M,S0101_C01_021M,S0101_C02_021M,S0101_C02_021M,S0101_C02_021M,S0101_C02_021M,S0101_C02_021M,S0101_C02_021M
S0101_C01_022E,S0101_C01_022E,S0101_C02_023E,S0101_C02_023E,S0101_C02_023E,S0101_C02_023E,S0101_C02_023E,S0101_C02_023E
S0101_C01_022M,S0101_C01_022M,S0101_C02_023M,S0101_C02_023M,S0101_C02_023M,S0101_C02_023M,S0101_C02_023M,S0101_C02_023M
S0101_C01_023E,S0101_C01_023E,S0101_C02_024E,S0101_C02_024E,S0101_C02_024E,S0101_C02_024E,S0101_C02_024E,S0101_C02_024E
S0101_C01_023M,S0101_C01_023M,S0101_C02_024M,S0101_C02_024M,S0101_C02_024M,S0101_C02_024M,S0101_C02_024M,S0101_C02_024M
S0101_C01_024E,S0101_C01_024E,S0101_C02_025E,S0101_C02_025E,S0101_C02_025E,S0101_C02_025E,S0101_C02_025E,S0101_C02_025E
S0101_C01_024M,S0101_C01_024M,S0101_C02_025M,S0101_C02_025M,S0101_C02_025M,S0101_C02_025M,S0101_C02_025M,S0101_C02_025M
S0101_C01_025E,S0101_C01_025E,S0101_C02_026E,S0101_C02_026E,S0101_C02_026E,S0101_C02_026E,S0101_C02_026E,S0101_C02_026E
S0101_C01_025M,S0101_C01_025M,S0101_C02_026M,S0101_C02_026M,S0101_C02_026M,S0101_C02_026M,S0101_C02_026M,S0101_C02_026M
S0101_C01_026E,S0101_C01_026E,S0101_C02_028E,S0101_C02_028E,S0101_C02_028E,S0101_C02_028E,S0101_C02_028E,S0101_C02_028E
S0101_C01_026M,S0101_C01_026M,S0101_C02_028M,S0101_C02_028M,S0101_C02_028M,S0101_C02_028M,S0101_C02_028M,S0101_C02_028M
S0101_C01_027E,S0101_C01_027E,S0101_C02_029E,S0101_C02_029E,S0101_C02_029E,S0101_C02_029E,S0101_C02_029E,S0101_C02_029E
S0101_C01_027M,S0101_C01_027M,S0101_C02_029M,S0101_C02_029M,S0101_C02_029M,S0101_C02_029M,S0101_C02_029M,S0101_C02_029M
S0101_C01_028E,S0101_C01_028E,S0101_C02_030E,S0101_C02_030E,S0101_C02_030E,S0101_C02_030E,S0101_C02_030E,S0101_C02_030E
S0101_C01_028M,S0101_C01_028M,S0101_C02_030M,S0101_C02_030M,S0101_C02_030M,S0101_C02_030M,S0101_C02_030M,S0101_C02_030M
S0101_C01_029E,S0101_C01_029E,S0101_C02_031E,S0101_C02_031E,S0101_C02_031E,S0101_C02_031E,S0101_C02_031E,S0101_C02_031E
S0101_C01_029M,S0101_C01_029M,S0101_C02_031M,S0101_C02_031M,S0101_C02_031M,S0101_C02_031M,S0101_C02_031M,S0101_C02_031M
S0101_C01_030E,S0101_C01_030E,S0101_C01_032E,S0101_C01_032E,S0101_C01_032E,S0101_C01_032E,S0101_C01_032E,S0101_C01_032E
S0101_C01_030M,S0101_C01_030M,S0101_C01_032M,S0101_C01_032M,S0101_C01_032M,S0101_C01_032M,S0101_C01_032M,S0101_C01_032M
S0101_C01_031E,S0101_C01_031E,S0101_C01_033E,S0101_C01_033E,S0101_C01_033E,S0101_C01_033E,S0101_C01_033E,S0101_C01_033E
S0101_C01_031M,S0101_C01_031M,S0101_C01_033M,S0101_C01_033M,S0101_C01_033M,S0101_C01_033M,S0101_C01_033M,S0101_C01_033M
S0101_C01_032E,S0101_C01_032E,S0101_C01_034E,S0101_C01_034E,S0101_C01_034E,S0101_C01_034E,S0101_C01_034E,S0101_C01_034E
S0101_C01_032M,S0101_C01_032M,S0101_C01_034M,S0101_C01_034M,S0101_C01_034M,S0101_C01_034M,S0101_C01_034M,S0101_C01_034M
S0101_C01_033E,S0101_C01_033E,S0101_C01_035E,S0101_C01_035E,S0101_C01_035E,S0101_C01_035E,S0101_C01_035E,S0101_C01_035E
S0101_C01_033M,S0101_C01_033M,S0101_C01_035M,S0101_C01_035M,S0101_C01_035M,S0101_C01_035M,S0101_C01_035M,S0101_C01_035M
S0101_C01_034E,S0101_C01_034E,S0101_C01_036E,S0101_C01_036E,S0101_C01_036E,S0101_C01_036E,S0101_C01_036E,S0101_C01_036E
S0101_C01_034M,S0101_C01_034M,S0101_C01_036M,S0101_C01_036M,S0101_C01_036M,S0101_C01_036M,S0101_C01_036M,S0101_C01_036M
S0101_C01_035E,S0101_C01_035E,S0101_C02_037E,S0101_C02_037E,S0101_C02_037E,S0101_C02_037E,S0101_C02_037E,S0101_C02_037E
S0101_C01_035M,S0101_C01_035M,S0101_C02_037M,S0101_C02_037M,S0101_C02_037M,S0101_C02_037M,S0101_C02_037M,S0101_C02_037M
S0101_C01_036E,S0101_C01_036E,S0101_C02_038E,S0101_C02_038E,S0101_C02_038E,S0101_C02_038E,S0101_C02_038E,S0101_C02_038E
S0101_C01_036M,S0101_C01_036M,S0101_C02_038M,S0101_C02_038M,S0101_C02_038M,S0101_C02_038M,S0101_C02_038M,S0101_C02_038M
S0101_C02_001E,S0101_C02_001E,S0101_C03_001E,S0101_C03_001E,S0101_C03_001E,S0101_C03_001E,S0101_C03_001E,S0101_C03_001E
S0101_C02_001M,S0101_C02_001M,S0101_C03_001M,S0101_C03_001M,S0101_C03_001M,S0101_C03_001M,S0101_C03_001M,S0101_C03_001M
S0101_C02_002E,S0101_C02_002E,S0101_C04_002E,S0101_C04_002E,S0101_C04_002E,S0101_C04_002E,S0101_C04_002E,S0101_C04_002E
S0101_C02_002M,S0101_C02_002M,S0101_C04_002M,S0101_C04_002M,S0101_C04_002M,S0101_C04_002M,S0101_C04_002M,S0101_C04_002M
S0101_C02_003E,S0101_C02_003E,S0101_C04_003E,S0101_C04_003E,S0101_C04_003E,S0101_C04_003E,S0101_C04_003E,S0101_C04_003E
S0101_C02_003M,S0101_C02_003M,S0101_C04_003M,S0101_C04_003M,S0101_C04_003M,S0101_C04_003M,S0101_C04_003M,S0101_C04_003M
S0101_C02_004E,S0101_C02_004E,S0101_C04_004E,S0101_C04_004E,S0101_C04_004E,S0101_C04_004E,S0101_C04_004E,S0101_C04_004E
S0101_C02_004M,S0101_C02_004M,S0101_C04_004M,S0101_C04_004M,S0101_C04_004M,S0101_C04_004M,S0101_C04_004M,S0101_C04_004M
S0101_C02_005E,S0101_C02_005E,S0101_C04_005E,S0101_C04_005E,S0101_C04_005E,S0101_C04_005E,S0101_C04_005E,S0101_C04_005E
S0101_C02_005M,S0101_C02_005M,S0101_C04_005M,S0101_C04_005M,S0101_C04_005M,S0101_C04_005M,S0101_C04_005M,S0101_C04_005M
S0101_C02_006E,S0101_C02_006E,S0101_C04_006E,S0101_C04_006E,S0101_C04_006E,S0101_C04_006E,S0101_C04_006E,S0101_C04_006E
S0101_C02_006M,S0101_C02_006M,S0101_C04_006M,S0101_C04_006M,S0101_C04_006M,S0101_C04_006M,S0101_C04_006M,S0101_C04_006M
S0101_C02_007E,S0101_C02_007E,S0101_C04_007E,S0101_C04_007E,S0101_C04_007E,S0101_C04_007E,S0101_C04_007E,S0101_C04_007E
S0101_C02_007M,S0101_C02_007M,S0101_C04_007M,S0101_C04_007M,S0101_C04_007M,S0101_C04_007M,S0101_C04_007M,S0101_C04_007M
S0101_C02_008E,S0101_C02_008E,S0101_C04_008E,S0101_C04_008E,S0101_C04_008E,S0101_C04_008E,S0101_C04_008E,S0101_C04_008E
S0101_C02_008M,S0101_C02_008M,S0101_C04_008M,S0101_C04_008M,S0101_C04_008M,S0101_C04_008M,S0101_C04_008M,S0101_C04_008M
S0101_C02_009E,S0101_C02_009E,S0101_C04_009E,S0101_C04_009E,S0101_C04_009E,S0101_C04_009E,S0101_C04_009E,S0101_C04_009E
S0101_C02_009M,S0101_C02_009M,S0101_C04_009M,S0101_C04_009M,S0101_C04_009M,S0101_C04_009M,S0101_C04_009M,S0101_C04_009M
S0101_C02_010E,S0101_C02_010E,S0101_C04_010E,S0101_C04_010E,S0101_C04_010E,S0101_C04_010E,S0101_C04_010E,S0101_C04_010E
S0101_C02_010M,S0101_C02_010M,S0101_C04_010M,S0101_C04_010M,S0101_C04_010M,S0101_C04_010M,S0101_C04_010M,S0101_C04_010M
S0101_C02_011E,S0101_C02_011E,S0101_C04_011E,S0101_C04_011E,S0101_C04_011E,S0101_C04_011E,S0101_C04_011E,S0101_C04_011E
S0101_C02_011M,S0101_C02_011M,S0101_C04_011M,S0101_C04_011M,S0101_C04_011M,S0101_C04_011M,S0101_C04_011M,S0101_C04_011M
S0101_C02_012E,S0101_C02_012E,S0101_C04_012E,S0101_C04_012E,S0101_C04_012E,S0101_C04_012E,S0101_C04_012E,S0101_C04_012E
S0101_C02_012M,S0101_C02_012M,S0101_C04_012M,S0101_C04_012M,S0101_C04_012M,S0101_C04_012M,S0101_C04_012M,S0101_C04_012M
S0101_C02_013E,S0101_C02_013E,S0101_C04_013E,S0101_C04_013E,S0101_C04_013E,S0101_C04_013E,S0101_C04_013E,S0101_C04_013E
S0101_C02_013M,S0101_C02_013M,S0101_C04_013M,S0101_C04_013M,S0101_C04_013M,S0101_C04_013M,S0101_C04_013M,S0101_C04_013M
S0101_C02_014E,S0101_C02_014E,S0101_C04_014E,S0101_C04_014E,S0101_C04_014E,S0101_C04_014E,S0101_C04_014E,S0101_C04_014E
S0101_C02_014M,S0101_C02_014M,S0101_C04_014M,S0101_C04_014M,S0101_C04_014M,S0101_C04_014M,S0101_C04_014M,S0101_C04_014M
S0101_C02_015E,S0101_C02_015E,S0101_C04_015E,S0101_C04_015E,S0101_C04_015E,S0101_C04_015E,S0101_C04_015E,S0101_C04_015E
S0101_C02_015M,S0101_C02_015M,S0101_C04_015M,S0101_C04_015M,S0101_C04_015M,S0101_C04_015M,S0101_C04_015M,S0101_C04_015M
S0101_C02_016E,S0101_C02_016E,S0101_C04_016E,S0101_C04_016E,S0101_C04_016E,S0101_C04_016E,S0101_C04_016E,S0101_C04_016E
S0101_C02_016M,S0101_C02_016M,S0101_C04_016M,S0101_C04_016M,S0101_C04_016M,S0101_C04_016M,S0101_C04_016M,S0101_C04_016M
S0101_C02_017E,S0101_C02_017E,S0101_C04_017E,S0101_C04_017E,S0101_C04_017E,S0101_C04_017E,S0101_C04_017E,S0101_C04_017E
S0101_C02_017M,S0101_C02_017M,S0101_C04_017M,S0101_C04_017M,S0101_C04_017M,S0101_C04_017M,S0101_C04_017M,S0101_C04_017M
S0101_C02_018E,S0101_C02_018E,S0101_C04_018E,S0101_C04_018E,S0101_C04_018E,S0101_C04_018E,S0101_C04_018E,S0101_C04_018E
S0101_C02_018M,S0101_C02_018M,S0101_C04_018M,S0101_C04_018M,S0101_C04_018M,S0101_C04_018M,S0101_C04_018M,S0101_C04_018M
S0101_C02_019E,S0101_C02_019E,S0101_C04_019E,S0101_C04_019E,S0101_C04_019E,S0101_C04_019E,S0101_C04_019E,S0101_C04_019E
S0101_C02_019M,S0101_C02_019M,S0101_C04_019M,S0101_C04_019M,S0101_C04_019M,S0101_C04_019M,S0101_C04_019M,S0101_C04_019M
S0101_C02_020E,S0101_C02_020E,S0101_C04_020E,S0101_C04_020E,S0101_C04_020E,S0101_C04_020E,S0101_C04_020E,S0101_C04_020E
S0101_C02_020M,S0101_C02_020M,S0101_C04_020M,S0101_C04_020M,S0101_C04_020M,S0101_C04_020M,S0101_C04_020M,S0101_C04_020M
S0101_C02_021E,S0101_C02_021E,S0101_C04_021E,S0101_C04_021E,S0101_C04_021E,S0101_C04_021E,S0101_C04_021E,S0101_C04_021E
S0101_C02_021M,S0101_C02_021M,S0101_C04_021M,S0101_C04_021M,S0101_C04_021M,S0101_C04_021M,S0101_C04_021M,S0101_C04_021M
S0101_C02_022E,S0101_C02_022E,S0101_C04_023E,S0101_C04_023E,S0101_C04_023E,S0101_C04_023E,S0101_C04_023E,S0101_C04_023E
S0101_C02_022M,S0101_C02_022M,S0101_C04_023M,S0101_C04_023M,S0101_C04_023M,S0101_C04_023M,S0101_C04_023M,S0101_C04_023M
S0101_C02_023E,S0101_C02_023E,S0101_C04_024E,S0101_C04_024E,S0101_C04_024E,S0101_C04_024E,S0101_C04_024E,S0101_C04_024E
S0101_C02_023M,S0101_C02_023M,S0101_C04_024M,S0101_C04_024M,S0101_C04_024M,S0101_C04_024M,S0101_C04_024M,S0101_C04_024M
S0101_C02_024E,S0101_C02_024E,S0101_C04_025E,S0101_C04_025E,S0101_C04_025E,S0101_C04_025E,S0101_C04_025E,S0101_C04_025E
S0101_C02_024M,S0101_C02_024M,S0101_C04_025M,S0101_C04_025M,S0101_C04_025M,S0101_C04_025M,S0101_C04_025M,S0101_C04_025M
S0101_C02_025E,S0101_C02_025E,S0101_C04_026E,S0101_C04_026E,S0101_C04_026E,S0101_C04_026E,S0101_C04_026E,S0101_C04_026E
S0101_C02_025M,S0101_C02_025M,S0101_C04_026M,S0101_C04_026M,S0101_C04_026M,S0101_C04_026M,S0101_C04_026M,S0101_C04_026M
S0101_C02_026E,S0101_C02_026E,S0101_C04_028E,S0101_C04_028E,S0101_C04_028E,S0101_C04_028E,S0101_C04_028E,S0101_C04_028E
S0101_C02_026M,S0101_C02_026M,S0101_C04_028M,S0101_C04_028M,S0101_C04_028M,S0101_C04_028M,S0101_C04_028M,S0101_C04_028M
S0101_C02_027E,S0101_C02_027E,S0101_C04_029E,S0101_C04_029E,S0101_C04_029E,S0101_C04_029E,S0101_C04_029E,S0101_C04_029E
S0101_C02_027M,S0101_C02_027M,S0101_C04_029M,S0101_C04_029M,S0101_C04_029M,S0101_C04_029M,S0101_C04_029M,S0101_C04_029M
S0101_C02_028E,S0101_C02_028E,S0101_C04_030E,S0101_C04_030E,S0101_C04_030E,S0101_C04_030E,S0101_C04_030E,S0101_C04_030E
S0101_C02_028M,S0101_C02_028M,S0101_C04_030M,S0101_C04_030M,S0101_C04_030M,S0101_C04_030M,S0101_C04_030M,S0101_C04_030M
S0101_C02_029E,S0101_C02_029E,S0101_C04_031E,S0101_C04_031E,S0101_C04_031E,S0101_C04_031E,S0101_C04_031E,S0101_C04_031E
S0101_C02_029M,S0101_C02_029M,S0101_C04_031M,S0101_C04_031M,S0101_C04_031M,S0101_C04_031M,S0101_C04_031M,S0101_C04_031M
S0101_C02_030E,S0101_C02_030E,S0101_C03_032E,S0101_C03_032E,S0101_C03_032E,S0101_C03_032E,S0101_C03_032E,S0101_C03_032E
S0101_C02_030M,S0101_C02_030M,S0101_C03_032M,S0101_C03_032M,S0101_C03_032M,S0101_C03_032M,S0101_C03_032M,S0101_C03_032M
S0101_C02_031E,S0101_C02_031E,S0101_C03_033E,S0101_C03_033E,S0101_C03_033E,S0101_C03_033E,S0101_C03_033E,S0101_C03_033E
S0101_C02_031M,S0101_C02_031M,S0101_C03_033M,S0101_C03_033M,S0101_C03_033M,S0101_C03_033M,S0101_C03_033M,S0101_C03_033M
S0101_C02_032E,S0101_C02_032E,S0101_C03_034E,S0101_C03_034E,S0101_C03_034E,S0101_C03_034E,S0101_C03_034E,S0101_C03_034E
S0101_C02_032M,S0101_C02_032M,S0101_C03_034M,S0101_C03_034M,S0101_C03_034M,S0101_C03_034M,S0101_C03_034M,S0101_C03_034M
S0101_C02_033E,S0101_C02_033E,S0101_C03_035E,S0101_C03_035E,S0101_C03_035E,S0101_C03_035E,S0101_C03_035E,S0101_C03_035E
S0101_C02_033M,S0101_C02_033M,S0101_C03_035M,S0101_C03_035M,S0101_C03_035M,S0101_C03_035M,S0101_C03_035M,S0101_C03_035M
S0101_C02_034E,S0101_C02_034E,S0101_C03_036E,S0101_C03_036E,S0101_C03_036E,S0101_C03_036E,S0101_C03_036E,S0101_C03_036E
S0101_C02_034M,S0101_C02_034M,S0101_C03_036M,S0101_C03_036M,S0101_C03_036M,S0101_C03_036M,S0101_C03_036M,S0101_C03_036M
S0101_C02_035E,S0101_C02_035E,S0101_C03_037E,S0101_C03_037E,S0101_C03_037E,S0101_C03_037E,S0101_C03_037E,S0101_C03_037E
S0101_C02_035M,S0101_C02_035M,S0101_C03_037M,S0101_C03_037M,S0101_C03_037M,S0101_C03_037M,S0101_C03_037M,S0101_C03_037M
S0101_C02_036E,S0101_C02_036E,S0101_C03_038E,S0101_C03_038E,S0101_C03_038E,S0101_C03_038E,S0101_C03_038E,S0101_C03_038E
S0101_C02_036M,S0101_C02_036M,S0101_C03_038M,S0101_C03_038M,S0101_C03_038M,S0101_C03_038M,S0101_C03_038M,S0101_C03_038M
S0101_C03_001E,S0101_C03_001E,S0101_C05_001E,S0101_C05_001E,S0101_C05_001E,S0101_C05_001E,S0101_C05_001E,S0101_C05_001E
S0101_C03_001M,S0101_C03_001M,S0101_C05_001M,S0101_C05_001M,S0101_C05_001M,S0101_C05_001M,S0101_C05_001M,S0101_C05_001M
S0101_C03_002E,S0101_C03_002E,S0101_C06_002E,S0101_C06_002E,S0101_C06_002E,S0101_C06_002E,S0101_C06_002E,S0101_C06_002E
S0101_C03_002M,S0101_C03_002M,S0101_C06_002M,S0101_C06_002M,S0101_C06_002M,S0101_C06_002M,S0101_C06_002M,S0101_C06_002M
S0101_C03_003E,S0101_C03_003E,S0101_C06_003E,S0101_C06_003E,S0101_C06_003E,S0101_C06_003E,S0101_C06_003E,S0101_C06_003E
S0101_C03_003M,S0101_C03_003M,S0101_C06_003M,S0101_C06_003M,S0101_C06_003M,S0101_C06_003M,S0101_C06_003M,S0101_C06_003M
S0101_C03_004E,S0101_C03_004E,S0101_C06_004E,S0101_C06_004E,S0101_C06_004E,S0101_C06_004E,S0101_C06_004E,S0101_C06_004E
S0101_C03_004M,S0101_C03_004M,S0101_C06_004M,S0101_C06_004M,S0101_C06_004M,S0101_C06_004M,S0101_C06_004M,S0101_C06_004M
S0101_C03_005E,S0101_C03_005E,S0101_C06_005E,S0101_C06_005E,S0101_C06_005E,S0101_C06_005E,S0101_C06_005E,S0101_C06_005E
S0101_C03_005M,S0101_C03_005M,S0101_C06_005M,S0101_C06_005M,S0101_C06_005M,S0101_C06_005M,S0101_C06_005M,S0101_C06_005M
S0101_C03_006E,S0101_C03_006E,S0101_C06_006E,S0101_C06_006E,S0101_C06_006E,S0101_C06_006E,S0101_C06_006E,S0101_C06_006E
S0101_C03_006M,S0101_C03_006M,S0101_C06_006M,S0101_C06_006M,S0101_C06_006M,S0101_C06_006M,S0101_C06_006M,S0101_C06_006M
S0101_C03_007E,S0101_C03_007E,S0101_C06_007E,S0101_C06_007E,S0101_C06_007E,S0101_C06_007E,S0101_C06_007E,S0101_C06_007E
S0101_C03_007M,S0101_C03_007M,S0101_C06_007M,S0101_C06_007M,S0101_C06_007M,S0101_C06_007M,S0101_C06_007M,S0101_C06_007M
S0101_C03_008E,S0101_C03_008E,S0101_C06_008E,S0101_C06_008E,S0101_C06_008E,S0101_C06_008E,S0101_C06_008E,S0101_C06_008E
S0101_C03_008M,S0101_C03_008M,S0101_C06_008M,S0101_C06_008M,S0101_C06_008M,S0101_C06_008M,S0101_C06_008M,S0101_C06_008M
S0101_C03_009E,S0101_C03_009E,S0101_C06_009E,S0101_C06_009E,S0101_C06_009E,S0101_C06_009E,S0101_C06_009E,S0101_C06_009E
S0101_C03_009M,S0101_C03_009M,S0101_C06_009M,S0101_C06_009M,S0101_C06_009M,S0101_C06_009M,S0101_C06_009M,S0101_C06_009M
S0101_C03_010E,S0101_C03_010E,S0101_C06_010E,S0101_C06_010E,S0101_C06_010E,S0101_C06_010E,S0101_C06_010E,S0101_C06_010E
S0101_C03_010M,S0101_C03_010M,S0101_C06_010M,S0101_C06_010M,S0101_C06_010M,S0101_C06_010M,S0101_C06_010M,S0101_C06_010M
S0101_C03_011E,S0101_C03_011E,S0101_C06_011E,S0101_C06_011E,S0101_C06_011E,S0101_C06_011E,S0101_C06_011E,S0101_C06_011E
S0101_C03_011M,S0101_C03_011M,S0101_C06_011M,S0101_C06_011M,S0101_C06_011M,S0101_C06_011M,S0101_C06_011M,S0101_C06_011M
S0101_C03_012E,S0101_C03_012E,S0101_C06_012E,S0101_C06_012E,S0101_C06_012E,S0101_C06_012E,S0101_C06_012E,S0101_C06_012E
S0101_C03_012M,S0101_C03_012M,S0101_C06_012M,S0101_C06_012M,S0101_C06_012M,S0101_C06_012M,S0101_C06_012M,S0101_C06_012M
S0101_C03_013E,S0101_C03_013E,S0101_C06_013E,S0101_C06_013E,S0101_C06_013E,S0101_C06_013E,S0101_C06_013E,S0101_C06_013E
S0101_C03_013M,S0101_C03_013M,S0101_C06_013M,S0101_C06_013M,S0101_C06_013M,S0101_C06_013M,S0101_C06_013M,S0101_C06_013M
S0101_C03_014E,S0101_C03_014E,S0101_C06_014E,S0101_C06_014E,S0101_C06_014E,S0101_C06_014E,S0101_C06_014E,S0101_C06_014E
S0101_C03_014M,S0101_C03_014M,S0101_C06_014M,S0101_C06_014M,S0101_C06_014M,S0101_C06_014M,S0101_C06_014M,S0101_C06_014M
S0101_C03_015E,S0101_C03_015E,S0101_C06_015E,S0101_C06_015E,S0101_C06_015E,S0101_C06_015E,S0101_C06_015E,S0101_C06_015E
