2022_ID,2022_Label
S0101_C01_032E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!SUMMARY INDICATORS!!MEDIAN AGE (YEARS)
S0101_C01_033E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!SUMMARY INDICATORS!!SEX RATIO (MALE PER 100 FEMALE)
S0101_C01_034E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!SUMMARY INDICATORS!!AGE DEPENDENCY RATIO
S0101_C01_035E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!SUMMARY INDICATORS!!OLD-AGE DEPENDENCY RATIO
S0101_C01_036E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!SUMMARY INDICATORS!!CHILD DEPENDENCY RATIO
S0101_C01_037E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!PERCENT ALLOCATED!!SEX
S0101_C01_038E,AGE AND SEX!!INT!!ESTIMATE!!TOTAL!!TOTAL POPULATION!!PERCENT ALLOCATED!!AGE
S0101_C02_001E,AGE AND SEX!!INT!!ESTIMATE!!PERCENT!!TOTAL POPULATION
S0101_C02_002E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!AGE!!UNDER 5 YEARS
S0101_C02_003E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!AGE!!5 TO 9 YEARS
S0101_C02_004E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!AGE!!10 TO 14 YEARS
S0101_C02_005E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!AGE!!15 TO 19 YEARS
S0101_C02_006E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!AGE!!20 TO 24 YEARS
S0101_C02_007E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!AGE!!25 TO 29 YEARS
S0101_C02_008E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!AGE!!30 TO 34 YEARS
S0101_C02_009E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!AGE!!35 TO 39 YEARS
S0101_C02_010E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!AGE!!40 TO 44 YEARS
S0101_C02_011E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!AGE!!45 TO 49 YEARS
S0101_C02_012E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!AGE!!50 TO 54 YEARS
S0101_C02_013E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!AGE!!55 TO 59 YEARS
S0101_C02_014E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!AGE!!60 TO 64 YEARS
S0101_C02_015E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!AGE!!65 TO 69 YEARS
S0101_C02_016E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!AGE!!70 TO 74 YEARS
S0101_C02_017E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!AGE!!75 TO 79 YEARS
S0101_C02_018E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!AGE!!80 TO 84 YEARS
S0101_C02_019E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!AGE!!85 YEARS AND OVER
S0101_C02_020E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!5 TO 14 YEARS
S0101_C02_021E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!15 TO 17 YEARS
S0101_C02_022E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!UNDER 18 YEARS
S0101_C02_023E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!18 TO 24 YEARS
S0101_C02_024E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!15 TO 44 YEARS
S0101_C02_025E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!16 YEARS AND OVER
S0101_C02_026E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!18 YEARS AND OVER
S0101_C02_027E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!21 YEARS AND OVER
S0101_C02_028E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!60 YEARS AND OVER
S0101_C02_029E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!62 YEARS AND OVER
S0101_C02_030E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!65 YEARS AND OVER
S0101_C02_031E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!75 YEARS AND OVER
S0101_C02_032E,AGE AND SEX!!INT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!SUMMARY INDICATORS!!MEDIAN AGE (YEARS)
S0101_C02_033E,AGE AND SEX!!INT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!SUMMARY INDICATORS!!SEX RATIO (MALE PER 100 FEMALE)
S0101_C02_034E,AGE AND SEX!!INT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!SUMMARY INDICATORS!!AGE DEPENDENCY RATIO
S0101_C02_035E,AGE AND SEX!!INT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!SUMMARY INDICATORS!!OLD-AGE DEPENDENCY RATIO
S0101_C02_036E,AGE AND SEX!!INT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!SUMMARY INDICATORS!!CHILD DEPENDENCY RATIO
S0101_C02_037E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!PERCENT ALLOCATED!!SEX
S0101_C02_038E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT!!TOTAL POPULATION!!PERCENT ALLOCATED!!AGE
S0101_C03_001E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION
S0101_C03_002E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!AGE!!UNDER 5 YEARS
S0101_C03_003E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!AGE!!5 TO 9 YEARS
S0101_C03_004E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!AGE!!10 TO 14 YEARS
S0101_C03_005E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!AGE!!15 TO 19 YEARS
S0101_C03_006E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!AGE!!20 TO 24 YEARS
S0101_C03_007E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!AGE!!25 TO 29 YEARS
S0101_C03_008E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!AGE!!30 TO 34 YEARS
S0101_C03_009E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!AGE!!35 TO 39 YEARS
S0101_C03_010E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!AGE!!40 TO 44 YEARS
S0101_C03_011E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!AGE!!45 TO 49 YEARS
S0101_C03_012E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!AGE!!50 TO 54 YEARS
S0101_C03_013E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!AGE!!55 TO 59 YEARS
S0101_C03_014E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!AGE!!60 TO 64 YEARS
S0101_C03_015E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!AGE!!65 TO 69 YEARS
S0101_C03_016E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!AGE!!70 TO 74 YEARS
S0101_C03_017E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!AGE!!75 TO 79 YEARS
S0101_C03_018E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!AGE!!80 TO 84 YEARS
S0101_C03_019E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!AGE!!85 YEARS AND OVER
S0101_C03_020E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!5 TO 14 YEARS
S0101_C03_021E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!15 TO 17 YEARS
S0101_C03_022E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!UNDER 18 YEARS
S0101_C03_023E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!18 TO 24 YEARS
S0101_C03_024E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!15 TO 44 YEARS
S0101_C03_025E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!16 YEARS AND OVER
S0101_C03_026E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!18 YEARS AND OVER
S0101_C03_027E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!21 YEARS AND OVER
S0101_C03_028E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!60 YEARS AND OVER
S0101_C03_029E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!62 YEARS AND OVER
S0101_C03_030E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!65 YEARS AND OVER
S0101_C03_031E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!75 YEARS AND OVER
S0101_C03_032E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!SUMMARY INDICATORS!!MEDIAN AGE (YEARS)
S0101_C03_033E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!SUMMARY INDICATORS!!SEX RATIO (MALE PER 100 FEMALE)
S0101_C03_034E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!SUMMARY INDICATORS!!AGE DEPENDENCY RATIO
S0101_C03_035E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!SUMMARY INDICATORS!!OLD-AGE DEPENDENCY RATIO
S0101_C03_036E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!SUMMARY INDICATORS!!CHILD DEPENDENCY RATIO
S0101_C03_037E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!PERCENT ALLOCATED!!SEX
S0101_C03_038E,AGE AND SEX!!INT!!ESTIMATE!!MALE!!TOTAL POPULATION!!PERCENT ALLOCATED!!AGE
S0101_C04_001E,AGE AND SEX!!INT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION
S0101_C04_002E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!AGE!!UNDER 5 YEARS
S0101_C04_003E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!AGE!!5 TO 9 YEARS
S0101_C04_004E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!AGE!!10 TO 14 YEARS
S0101_C04_005E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!AGE!!15 TO 19 YEARS
S0101_C04_006E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!AGE!!20 TO 24 YEARS
S0101_C04_007E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!AGE!!25 TO 29 YEARS
S0101_C04_008E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!AGE!!30 TO 34 YEARS
S0101_C04_009E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!AGE!!35 TO 39 YEARS
S0101_C04_010E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!AGE!!40 TO 44 YEARS
S0101_C04_011E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!AGE!!45 TO 49 YEARS
S0101_C04_012E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!AGE!!50 TO 54 YEARS
S0101_C04_013E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!AGE!!55 TO 59 YEARS
S0101_C04_014E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!AGE!!60 TO 64 YEARS
S0101_C04_015E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!AGE!!65 TO 69 YEARS
S0101_C04_016E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!AGE!!70 TO 74 YEARS
S0101_C04_017E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!AGE!!75 TO 79 YEARS
S0101_C04_018E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!AGE!!80 TO 84 YEARS
S0101_C04_019E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!AGE!!85 YEARS AND OVER
S0101_C04_020E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!5 TO 14 YEARS
S0101_C04_021E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!15 TO 17 YEARS
S0101_C04_022E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!UNDER 18 YEARS
S0101_C04_023E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!18 TO 24 YEARS
S0101_C04_024E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!15 TO 44 YEARS
S0101_C04_025E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!16 YEARS AND OVER
S0101_C04_026E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!18 YEARS AND OVER
S0101_C04_027E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!21 YEARS AND OVER
S0101_C04_028E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!60 YEARS AND OVER
S0101_C04_029E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!62 YEARS AND OVER
S0101_C04_030E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!65 YEARS AND OVER
S0101_C04_031E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!75 YEARS AND OVER
S0101_C04_032E,AGE AND SEX!!INT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!SUMMARY INDICATORS!!MEDIAN AGE (YEARS)
S0101_C04_033E,AGE AND SEX!!INT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!SUMMARY INDICATORS!!SEX RATIO (MALE PER 100 FEMALE)
S0101_C04_034E,AGE AND SEX!!INT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!SUMMARY INDICATORS!!AGE DEPENDENCY RATIO
S0101_C04_035E,AGE AND SEX!!INT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!SUMMARY INDICATORS!!OLD-AGE DEPENDENCY RATIO
S0101_C04_036E,AGE AND SEX!!INT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!SUMMARY INDICATORS!!CHILD DEPENDENCY RATIO
S0101_C04_037E,AGE AND SEX!!INT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!PERCENT ALLOCATED!!SEX
S0101_C04_038E,AGE AND SEX!!INT!!ESTIMATE!!PERCENT MALE!!TOTAL POPULATION!!PERCENT ALLOCATED!!AGE
S0101_C05_001E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION
S0101_C05_002E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION!!AGE!!UNDER 5 YEARS
S0101_C05_003E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION!!AGE!!5 TO 9 YEARS
S0101_C05_004E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION!!AGE!!10 TO 14 YEARS
S0101_C05_005E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION!!AGE!!15 TO 19 YEARS
S0101_C05_006E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION!!AGE!!20 TO 24 YEARS
S0101_C05_007E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION!!AGE!!25 TO 29 YEARS
S0101_C05_008E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION!!AGE!!30 TO 34 YEARS
S0101_C05_009E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION!!AGE!!35 TO 39 YEARS
S0101_C05_010E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION!!AGE!!40 TO 44 YEARS
S0101_C05_011E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION!!AGE!!45 TO 49 YEARS
S0101_C05_012E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION!!AGE!!50 TO 54 YEARS
S0101_C05_013E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION!!AGE!!55 TO 59 YEARS
S0101_C05_014E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION!!AGE!!60 TO 64 YEARS
S0101_C05_015E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION!!AGE!!65 TO 69 YEARS
S0101_C05_016E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION!!AGE!!70 TO 74 YEARS
S0101_C05_017E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION!!AGE!!75 TO 79 YEARS
S0101_C05_018E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION!!AGE!!80 TO 84 YEARS
S0101_C05_019E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION!!AGE!!85 YEARS AND OVER
S0101_C05_020E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!5 TO 14 YEARS
S0101_C05_021E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!15 TO 17 YEARS
S0101_C05_022E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!UNDER 18 YEARS
S0101_C05_023E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!18 TO 24 YEARS
S0101_C05_024E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!15 TO 44 YEARS
S0101_C05_025E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!16 YEARS AND OVER
S0101_C05_026E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!18 YEARS AND OVER
S0101_C05_027E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!21 YEARS AND OVER
S0101_C05_028E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!60 YEARS AND OVER
S0101_C05_029E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!62 YEARS AND OVER
S0101_C05_030E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!65 YEARS AND OVER
S0101_C05_031E,AGE AND SEX!!INT!!ESTIMATE!!FEMALE!!TOTAL POPULATION!!SELECTED AGE CATEGORIES!!75 YEARS AND OVER
S0101_C05_032E,AGE AND SEX!!FLOAT!!ESTIMATE!!PERCENT FEMALE!!TOTAL POPULATION!!SUMMARY INDICATORS!!MEDIAN AGE (YEARS)
